Título do trabalho,ID,Veículo,Link,Formato,Autores(as) do trabalho,Data de publicação,Resumo do trabalho,Relevância,Originalidade,Metodologia
Operação Mensageiro: a organização criminosa,1,NDTV RecordTV,https://www.youtube.com/watch?v=RrD0-RakfTc,TV,"Felipe Kreusch Pires, Rodrigo Nenê, Guilherme Lira ",14/6/2023,"A Operação Mensageiro prendeu até o momento 16 prefeitos que recebiam propina da empresa Serrana Engenharia, que tem um monopílio da coleta e destinação de lixo em Santa Catarina. Essa reportagem trouxe por meio de dados, didáticos e explicativos, como funcionada a organização criminosa formada dentro da empresa para pagar as propinas sem levantar suspeita, inclusive com a figura do ""mensageiro"" que era o pagador dos valores e que deu nome a operação.","Muitas vezes quando assistimos na TV reportagens sobre esquemas de corrupção, tudo que é falado fico meio vago para um telespectador leigo no assunto, a complexidade das organizações criminosas faz com que o assunto se torne incompriensivel e seja visto como ""algo chato"" pelo telespectador. Por isso nesse trabalho demos nosso melhor para explicar de forma clara, mostrando que com as artes na tela é possível compreender de forma simples algo tão complexo.  ","A novidade aqui foi explicar todos o esquema, com a função de cada pessoa nele, algo que desde a deflagração da operação em dezembro de 2022 não foi feito por nenhum outro veiculo de comunicação, só não demos os nomes aqui por todos serem protegidos por acordos de colaboração premiada, e a justiça ter determinado multa de R$100 mil reais para quem divulgasse os nomes. ","A metodologia foi de analise dos processos nos seus mínimos detalhes, para confirmar o que cada um fazia no esquema, assim deixando claro como era a atuação orquestrada dessa organização criminosa que segundo o MPSC é responsável pelo maior esquema de corrupção já descoberto em Santa Catarina. "
MS se transforma na 'bola da vez' da indústria de celulose e ganha destaque mundial,2,Portal g1 MS (https://g1.globo.com/ms/mato-grosso-do-sul/),https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2023/01/30/ms-se-transforma-na-bola-da-vez-da-industria-de-celulose-e-ganha-destaque-mundial.ghtml,Online,Anderson Cardoso Viegas (assina Anderson Viegas),30/1/2023,"A reportagem mostrou como Mato Grosso do Sul em pouco mais de uma década se transformou em um dos maiores produtores mundiais de celulose e como deve se destacar ainda mais nos próximos anos, ressaltando sobretudo, que esse salto de desenvolvimento ocorre fundamentado nos princípios do ESG, em especial o aspecto da sustentabilidade, expressa nas seguintes ações e iniciativas: uso de matéria-prima de florestas plantadas; cultivo de áreas antropizadas; recuperação de áreas degradas; aumento da biodiversidade; prevenção e combate a incêndios florestais; mitigação dos gases do efeito estufa; reúso de água e devolução de 82% em média, após tratamento, a natureza; reutilização de químicos em circuito fechado; redução de pressão por extração de madeira de florestas nativas; produção de bioeletricidade a partir de resíduos da produção (como tocos de madeira e licor), boas práticas de manejo florestal e educação ambiental.","A relevância do tema se expressa além da óbvia questão ambiental, das boas práticas do setor, que o fazem uma referência mundial, e podem servir de modelo para outros segmentos que também buscam crescer e atingir o mercado internacional até os impactos que a instalação desses mega empreendimentos têm nos municípios de pequeno porte no estado, nas áreas econômica (geração de empregos, aumento da arrecadação, fomento de novos negócios, desenvolvimento) e social (melhoria do IDH, da rede pública na saúde, educação e assistência social). Além disso, fomenta a discussão sobre as medidas mitigatórias necessárias para amenizar os impactos negativos desse processo de desenvolvimento, como crescimento populacional muito rápido e salto na demanda por serviços públicos, entre outras.","Grande reportagem com convergência de mídias que explica porque Mato Grosso do Sul (BR) se tornou um dos maiores produtores mundiais de celulose. Mostra a vocação estadual, a chegada das empresas, o impacto sócio econômico, a sustentabilidade e os gargalos. A produção demandou 6 meses,18 entrevistas com personagens em 5 cidades e análise de 2 mil páginas de documentos. O trabalho resultou em uma matéria com 10 mil palavras, 2 vídeo reportagens (o caminho da celulose, da matéria-prima ao porto e o impacto da chegada de uma gigante do setor em uma pequena cidade), 11 infográficos, 24 fotos e entrevista em áudio. ","Esse amplo raio-X do setor no estado utilizou os infográficos para ilustrar e tornar mais compreensíveis dados que ao lado dos depoimentos de personagens deram a dimensão do setor em Mato Grosso o Sul. Entre os dados trabalhados como ilustrações gráficas estiveram informações sobre produção mundial de celulose, ranking nacional por estado, linha do tempo do setor no estado, nuvem de palavras para mostrar os números da área de emprego, exportações e grandes projetos de cada uma das empresas instaladas em Mato Grosso do Sul. Foram consultados desde dados abertos a consultas na internet de fontes como: FAO; Ministério do Desenvolvimento, Indústria, Comércio e Serviços; Indústria Brasileira de Árvores; Governo do Estado de MS;  empresas do setor;  Associação dos Produtores de Florestas Plantadas de Mato Grosso do Sul (Reflore-MS); Federação das Indústrias de Mato Grosso do Sul (Fiems); Novo Cadastro Geral de Empregados e Desempregados (Novo Caged); prefeitura de Ribas do Rio Pardo; da Agência Nacional de Energia Elétrica (Aneel) e Energisa MS. Os dados não trabalhados em artes, foram diluídos ao longo do texto, enriquecendo e aprofundando o conhecimento do leitor sobre o assunto. 
"
A ascensão do mel: como o Piauí se tornou o maior exportador nacional do produto,3,Piauí Negócios,https://www.pinegocios.com.br/noticia/1636-a-ascensao-do-mel:-como-o-piaui-se-tornou-o-maior-exportador-nacional-do-produto,Online,Robert Pedrosa e Nícolas Barbosa,30/1/2023,A reportagem usou bastante dados e pesquisa para informar como o Piauí se tornou o maior exportador de mel do Brasil.,"A produção do mel cresceu bastante principalmente em áreas carentes, gerando emprego para famílias da zona rural por meio de oooperativas.",A principal novidade é que a imprensa local não havia produzido tão rico material sobre a cadeia produtiva do mel com a quantidade de detalhes e elementos gráficos,A metodologia foi a análise comum dos dados.
Papo Pop Podcast - Trilhas Sonoras,4,Universidade Feevale,https://drive.google.com/file/d/1yigbT2-hUhrbsNv9WQimy0bDj0ge9pl7/view?usp=drive_link,Outro,"Eduarda Souza, Josyane Cardozo, Djuli Lourenço e Marina Serafin",10/10/2022,"O Papo Pop nasceu durante uma aula da cadeira de EXP Jornalismo Mobile em 2022/02. Nele falamos sobre o que mais amamos: O universo do audiovisual. 

Neste episódio em específico, mergulhamos no mundo das trilhas sonoras. O que faz uma boa trilha sonora? Como surgem? Qual sua verdadeira função? Fomos em busca de dados e especialistas como, professores, músicos e autores de trilhas premiados e indicados ao Oscar 2022. 

Além dos processos de uma trilha sonora, vamos te contar também, curiosidades sobre os hits que bombaram no ano de estreia do podcast, seja em novela, série ou filme. Se tá na boca do povo, tá no Papo Pop Podcast!","Acreditamos que este trabalho tenha relevância principalmente para estudantes de jornalismo, já que foi ganhador do Mentes Brilhantes Feevale na categoria Jornalismo em Mídias Sonoras. Sendo utilizado como referência durante as aulas e inspiração para os nossos colegas.","Formato. Por não ser no formato entrevista ping-pong, mas gravado, conseguimos condensar informações relevantes em poucos minutos.","Contando histórias. 

Todo brasileiro ama uma boa história, e porque não inserir dados no meio delas? 

Assim como nas novelas, começamos contando a história das trilhas sonoras no setor do audiovisual, passamos por diversas camadas, como a das demandas, ideias, criação, gravação, edição, pós-produção e finalização. E em cada uma destas etapas contamos usando dados, pois, eles nos auxiliam a mensurar as coisas."
Violência contra a mulher dispara no país e reforça necessidade de políticas de prevenção,5,Tribuna Hoje,https://tribunahoje.com/especial/2022/10/28/7-violencia-contra-a-mulher-dispara-no-pais-e-reforca-necessidade-de-politicas-de-prevencao,Online,Lucas França e Evellyn Pimentel,28/10/2022,"Os dados são aterrorizantes: a cada 60 segundos uma mulher é agredida no Brasil. A cada 10 minutos, uma mulher é estuprada. A cada 7 horas uma mulher é vítima de feminicídio. O levantamento é do Anuário da Segurança Pública 2022 e apontam ainda que a realidade em Alagoas segue o padrão nacional de aumento de todos os indicadores de violência: lesão corporal dolosa (+20%), ameaça (+27%), estupro e estupro de vulnerável (+3,6%), tentativa de estupro (+34%), assédio e importunação sexual (+117%). Entre os anos de 2006 e 2021 os números de casos de feminicídio cresceram 44%.",Mostrar a sociedade o número crescente de violência contra mulher no país e pedir celeridade das autoridades na resolução dos casos.,"Investigar a partir dos dados as medidas que vem sendo tomadas, cobrar das autoridades e fazer a sociedade refletir sobre o tema, além de educar as mulheres para que elas não se calem.","Pesquisar, apuração e entrevista"
Terremotos no Ceará? 7 gráficos sobre os tremores de terra no Estado,6,O POVO Mais,https://mais.opovo.com.br/reportagens-especiais/2023/05/18/terremotos-no-ceara-7-graficos-sobre-os-tremores-de-terra-no-estado.html,Online,Wanderson Trindade,18/5/2023,"Dados do Laboratório Sismológico da Universidade Federal do Rio Grande do Norte revelam que 1.262 tremores de terra foram registrados no Nordeste entre janeiro de 2020 e maio de 2023. Desses, 243 ocorreram no Ceará, o 2º estado da região com maior incidência. Nesta reportagem de dados, OP+ mostra por meio de mapas e gráficos a força desses eventos, assim como os locais onde foram catalogados.","A reportagem dá luz para um fenômeno natural existente no Brasil, apesar de pouco conhecido. Neste material, apesar de curto, a proposta é mostrar de maneira rápida e simples que os tremores de terra são mais comuns do que muitas pessoas imaginam, mas também não são motivadores de grandes preocupações.","A reportagem traz à tona de maneira estruturada informações relativas aos tremores de terra no Nordeste. Até então, os materiais sobre essa temática praticamente se restringem a apenas relatar a existência dos fenômenos. Esta reportagem, porém, busca reunir e mostrar de maneira visual a existência dos tremores de terra no Nordeste, com foco no Ceará.","Para esta reportagem, foram coletados dados de tremores de terra do Laboratório Sismológico (LabSis), vinculado ao Departamento de Geofísica, da Universidade Federal do Rio Grande do Norte (UFRN). Os dados estão disponibilizados em formato de boletins e foram coletados de maneira automática com códigos em Python e, principalmente, a utilização da biblioteca Beautifulsoup4.

Para garantir a transparência e a reprodutibilidade desta e de outras reportagens guiadas por dados, O POVO+ mantém uma página no Github na qual estão reunidos códigos e bases de dados produzidos para as publicações."
Rei do baião: os 110 anos de nascimento de Luiz Gonzaga,7,Nexo Jornal,https://www.nexojornal.com.br/grafico/2022/12/13/Rei-do-bai%C3%A3o-os-110-anos-do-nascimento-de-Luiz-Gonzaga,Online,"Caroline Souza, Cesar Gaglioni, Gabriel Zanlorenssi, Larissa Redivo, Mariana Froner e Nicholas Pretto",13/12/2022,"O material é uma biografia visual, com gráficos e ilustrações, sobre os 110 anos de Luiz Gonzaga, completados em dezembro de 2022. O trabalho envolveu uma equipe com diferentes especializações, um redator, dois cientistas de dados, duas designers e uma desenvolvedora. Isso tinha como objetivo era produzir algo que trouxesse elementos visuais variados, com atenção aos detalhes da vida de Gonzaga.","Foi uma oportunidade de celebrar a obra do cantor e compositor pernambucano, um dos maiores da música brasileira e porta-voz da música nordestina. Serve como um material de referência tanto para quem não conhece Luiz Gonzaga, quanto para fãs de longa-data.","A publicação traz uma forma única de contar a história de Luiz Gonzaga, com uso de ilustrações e gráficos. Os recursos visuais presentes proporcionam a imersão do leitor na vida do cantor e os gráficos dão a dimensão de sua obra. Uma das visualizações no material mostra a evolução tecnológica dos discos compactos de 78 RPM para discos LP, e como isso mudou o padrão de produção de Luiz Gonzaga. ","Os dados do material incluem os números gerais da obra de Luiz Gonzaga, uma nuvem de palavras das músicas do cantor e um gráfico com os discos publicados. Os dados dos discos foram coletados do Ecad (Escritório Central de Arrecadação e Distribuição), do IMMuB (Instituto Memória Musical Brasileira) e do site Gonzagão Online. Realizamos uma checagem cruzada, por conta de divergências entre as fontes. Para as letras de músicas, fizemos um webscraping do site Letas.mus.br usando o pacote rvest, do R. Os dados das nuvens de palavras foram tratados com os pacotes stringr e tm, e visualizados com do pacote wordcloud. Essas imagens geradas foram trabalhadas posteriormente no Adobe Illustrator."
Junho de 2013 na capa dos principais jornais do país,8,Nexo Jornal,https://www.nexojornal.com.br/grafico/2023/06/30/Junho-de-2013-na-capa-dos-principais-jornais-do-pa%C3%ADs,Online,Gabriel Zanlorenssi e Mariana Froner,30/6/2023,"O trabalho faz uma análise visual das capas dos principais jornais do Brasil em junho de 2013, na cobertura das manifestações que completaram dez anos em 2023. Destaca-se quanto que os protestos ocuparam o destaque dos três principais jornais do Brasil, dia-a-dia, além de mapear as menções aos principais políticos envolvidos na época: Dilma, Haddad e Alckmin.","Os veículos de imprensa do Brasil foram personagens importantes durante as manifestações de junho de 2013. A partir da análise das capas, mostramos as mudanças no discurso dos jornais em relação aos protestos ao longo do mês. Os principais jornais pautaram a opinião pública na época e tiveram diferentes tons ao retratar as manifestações, iniciando com uma abordagem negativa de violência, que se tornou uma visão positiva com o passar do tempo.
","Com o uso das próprias capas como base para a representação gráfica, o material permite que o leitor identifique visualmente a evolução da cobertura das manifestações nos jornais e os padrões de cobertura que ocorreram ao longo do mês de junho e também comparar a abordagem dos diferentes veículos.","Inicialmente, fizemos um levantamento de todos os itens das capas dos veículos e sua organização em ordem cronológica. Essas imagens foram obtidas a partir dos sites de acervo de cada jornal. A partir dessa análise, destacamos graficamente a área da capa ocupada pela cobertura das manifestações. Posteriormente, foram destacadas as menções dos políticos que apareciam em cada imagem. O material foi produzido com Adobe Illustrator.
"
Rota +Segura: ferramenta permite traçar os trajetos com menos roubos de veículos em SP; veja,9,Estado de S. Paulo,https://www.estadao.com.br/sao-paulo/rota-segura-ferramenta-permite-tracar-os-trajetos-com-menos-roubos-de-veiculos/,Online,"Lucas Thaynan, Cindy Damasceno, Bruno Ponceano",12/6/2023,"A série de reportagens aborda roubo e furto de veículos em São Paulo, a capital com maior frota do Brasil. A partir de dados de Segurança Pública do Estado de São Paulo, foi criada a ferramenta Rota+Segura, painel que permite traçar rotas com menos ocorrências de roubos de veículos. Conta ainda com uma análise do perfil do crime, reunindo informações dos roubos nos últimos 20 anos. Foi possível perceber a preferência dos criminosos a partir de tipo de automóvel, tempo de uso e região da cidade.","Ao organizar os dados de Segurança Pública, fragmentados nos sites de transparência, a reportagem traz de maneira direta o impacto da criminalidade no dia a dia do leitor.  Apontar a localização das ocorrências, contextualizando com fatores econômicos, como o envelhecimento da frota, proporciona um olhar mais aprofundado sobre o crime de roubos e furtos. 
","Mesmo que a cobertura de segurança já tenha abordado focos de roubo e furtos de veículos, trazer essa informação em um mapa interativo dá ao leitor a possibilidade de explorar a cidade –  sem ficar limitado a uma região pré-definida. O trunfo do material é conseguir trazer esses detalhes em uma interface fácil de usar e com o auxílio de uma ferramenta de mapa aberta, como é o MapBox. ","A ferramenta Rota +Segura utiliza informações do Sistema de Registro Digital de Ocorrências (RDO), a estratégia oficial da Secretaria de Segurança para reunir informações de boletins de ocorrência. Dessa forma, somente subtrações informadas à Polícia Civil entram no ‘radar’ da Rota + Segura. Foram considerados roubos e furtos de diversos tipos de veículos na cidade de São Paulo, abrangendo automóveis, motocicletas, caminhões e outros.

Estão presentes apenas registros que possuem informações de geolocalização, ou seja, latitude e longitude, o que representa 94,5% do total de casos ocorridos ao longo de 2022.

Cada registro é representado no mapa por um círculo vermelho com um raio de 350 metros. A ferramenta, por padrão, testa aleatoriamente dez rotas com base nessas informações.

O programa leva em consideração fatores como tempo de deslocamento, distância e a quantidade de assaltos ao longo do percurso. Essa última variável é crucial para determinar a rota com menor incidência de casos, levando em consideração o trajeto específico (de A a B) inserido pelo usuário.

Como é possível constatar utilizando a ferramenta, praticamente não há rotas com zero casos de assaltos, com exceção de pequenos trajetos com alguns metros de distância e algumas poucas regiões da cidade, visto que quase todos os cantos da capital possuem registros de roubos e furtos de veículos. Com isso, mesmo a rota com menos incidência de casos não há nenhuma garantia que os registros de assaltos devem continuar no mesmo patamar ou diminuir."
Os gastos diretos do governo Bolsonaro com redes sociais,10,Núcleo Jornalismo,https://nucleo.jor.br/interativos/2022-12-06-gastos-governo-bolsonaro-redes-2019-2022/,Online,"Sérgio Spagnuolo, Samira Menezes e Rodolfo Almeida",6/12/2022,"Ao final do governo Bolsonaro à frente do Executivo, o Núcleo destrinchou todos os gastos diretos da administração do presidente com redes sociais ao longo do mandato. Ao longo dos quatro anos de governo, mais de R$11,5 milhões foram gastos diretamente com redes sociais pela administração de Bolsonaro. Esse montante não representa o total dos investimentos do governo no segmento – os gastos indiretos, aqueles empenhados por agências terceirizadas, não estão no Portal da Transparência – mas são um termômetro de como recursos públicos foram utilizados para impulsionar conteúdo pelo governo federal.

Com a análise e visualização dos dados, descobrimos que os maiores gastos aconteceram no primeiro ano da pandemia de Covid-19, quando o governo foi pesadamente criticado pela forma como lidou com a crise e em meio a um quase colapso do governo, com saídas turbulentas de ministros. Mais de 40% do valor gasto foi desembolsado em 2020. Seguido por 2022, um ano eleitoral, período em que é muito fácil misturar os feitos do governo divulgados com campanhas políticas.

Além de analisar o quanto foi gasto em cada rede social ao longo do governo Bolsonaro, a reportagem cria uma visualização que separa os investimentos por Ministério. O Ministério da Saúde liderou os gastos (R$3,6 milhões) no período, seguido da Presidência da República (R$3,2 milhões) e do Ministério das Comunicações (R$2,2 milhões), que em meados de 2020 passou a ser responsável pela Secretaria Especial de Comunicação Social, que faz campanhas de publicidade para o governo e antes ficava sob a Presidência.

Um movimento interessante observado via análise dos dados é o crescimento do uso do TikTok pelo governo, que em 2022 chegou a ultrapassar os gastos em publicidade no Google. ","Bolsonaro sempre valorizou as redes sociais. Em 2018, sua campanha à presidência tinha pouquíssimo tempo no horário eleitoral gratuito de TV, e o então candidato concentrou boa parte de sua estratégia de divulgação nas redes sociais -- o que deu certo. Desde então, a importância das redes no jogo político tem crescido a cada ano e o conteúdo que circula nas redes têm impacto direto na sociedade, e de forma rápida. Com isso, se torna essencial ter um olhar dedicado a analisar como o governo federal destina o dinheiro público em propaganda nessas plataformas. ","A originalidade do trabalho está em permitir a exploração de diversos dados relacionados aos gastos com redes sociais em uma só página e de forma interativa. Ao invés de mostrarmos apenas os montantes investidos em publicidades nas plataformas digitais, o Núcleo inova ao trazer dados adjacentes, como a separação por ministérios, por redes e por tempo, e permitir que leitores naveguem na reportagem e busquem os dados mais interessantes para cada contexto.","Os dados foram coletados do Portal da Transparência a partir do CNPJ principal das três redes sociais. Veja aqui o código utilizado para extrair os dados da API do portal e analisar as informações: https://gist.github.com/sergiospagnuolo/023e8610f2bb47d5429f6ef071a34191?ref=nucleo.jor.br 

Twitter
CNPJ 16.954.565/0001-48
Link para Portal da Transparência: https://transparencia.gov.br/busca/pessoa-juridica/16954565000148-twitter-brasil-rede-de-informacao-ltda?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&colunasSelecionadas=linkDetalhamento%2Corgao%2CunidadeGestora%2CnumeroLicitacao%2CdataAbertura&id=37595606&ref=nucleo.jor.br 

Google
CNPJ 06.990.590/0001-23
Link para o Portal da Transparência: https://transparencia.gov.br/busca/pessoa-juridica/06990590000123-google-brasil-internet-ltda-?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&colunasSelecionadas=linkDetalhamento%2Corgao%2CunidadeGestora%2CnumeroLicitacao%2CdataAbertura&id=33989863&ref=nucleo.jor.br 

Facebook
CNPJ 13.347.016/0001-17
Link para o Portal da Transparência: https://transparencia.gov.br/busca/pessoa-juridica/13347016000117-facebook-servicos-online-do-brasil-ltda-?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&colunasSelecionadas=linkDetalhamento%2Corgao%2CunidadeGestora%2CnumeroLicitacao%2CdataAbertura&id=25843654&ref=nucleo.jor.br 

ByteDance
CNPJ 27.415.911/0001-36
Link para o Portal da Transparência: https://portaldatransparencia.gov.br/busca/pessoa-juridica/27415911000136-bytedance-brasil-tecnologia-ltda-?ref=nucleo.jor.br

Foram encontrados 1.821 gastos a partir desses dados. Os valores foram reajustados pela inflação utilizando o IPCA de out.2022. Em reportagem similar em 2021 (https://nucleo.jor.br/interativos/2021-12-09-gastos-do-governo-federal-com-google-disparam-em-2021/)  nós não reajustamos pela inflação para que os dados refletissem exatamente os que constam no Portal, mas agora entendemos que é a melhor abordagem.

Os valores consideram somente gastos diretos da administração pública com essas redes, não considerando gastos via terceiros em nome do governo, como agências de comunicação e de publicidade contratadas por órgãos públicos.

Vale notar que o Google é dono do YouTube, maior rede de vídeos do mundo, mas também oferece serviços de tecnologia, como servidores e ferramentas online. É notório, no entanto, que a maioria dos gastos do governo com o Google tenha sido sob rubricas de comunicação e de divulgação.

Meta inclui Facebook, Instagram e WhatsApp.

Os gráficos foram feitos com a ferramenta Flourish: https://flourish.studio/?ref=nucleo.jor.br "
