Título do trabalho,ID,Veículo,Link,Formato,Autores(as) do trabalho,Data de publicação,Resumo do trabalho,Relevância,Originalidade,Metodologia
 O perfil dos atuais e dos antigos ministros do Supremo,1,Nexo Jornal,https://www.nexojornal.com.br/grafico/2020/11/05/O-perfil-dos-atuais-e-dos-antigos-ministros-do-Supremo,Online,Autores: Caroline Souza e Gabriel Zanlorenssi. Colaborou: Gabriel Maia,5/11/2021,"O trabalho é uma história visual do perfil dos atuais e antigos ministros do STF (Superior Tribunal Federal). O STF é a principal corte judiciária do país e seus membros são indicados pelos presidentes e depois aprovados pelo Senado.

","Essa matéria entrega aos leitores, o perfil dos ministros que compõem atualmente o STF. Informações como gênero, idade ao entrar e a instituição de formação fazem parte do conteúdo. Ao mesmo tempo que observamos, o universo de ministros que já integraram o tribunal, assim temos uma comparação dos atuais ministros com os antigos.

As visualizações presentes no conteúdo, mostram também a falta de diversidade dentro do tribunal: com a presença majoritária de homens e de pessoas brancas. Apenas 3 mulheres foram indicadas como ministras, sendo que duas ocupam a corte atualmente. Além disso, a grande concentração regional, onde a grande maioria é do sudeste. 
","O trabalho é uma coleta original realizada pela equipe do Nexo, com dados do STF. Não há outras publicações na imprensa com a mesma quantidade de informações levantadas sobre os ministros desde a fundação da corte. Os dados foram posteriormente disponibilizados, o que pode contribuir para outras pesquisas. ","A coleta de dados foi realizada a partir das informações oficiais mencionadas no site do STF. As informações foram obtidas ministro por ministro e checadas com o complemento de outras fontes, como o CPDOC/FGV e matérias da imprensa.

Os dados foram trabalhados no R e os gráficos, posteriormente, no Adobe Illustrator. O link para os dados encontra-se abaixo. 

https://docs.google.com/spreadsheets/d/1Gf7XzBdJfI9SahnnBdcgxMfkNcqL9Tj-1kQcq5G_q7g/edit#gid=0

"
"'A política de segurança pública não está baseada na preservação da vida', analisa coordenador da Rede de Observatórios; veja dados",2,G1 - Portal de notícias da Globo,https://g1.globo.com/ba/bahia/noticia/2021/07/22/a-politica-de-seguranca-publica-nao-esta-baseada-na-preservacao-da-vida-analisa-coordenador-da-rede-de-observatorios-veja-dados.ghtml,Online,Itana Alencar,22/7/2021,"A reportagem traz a divulgação de um relatório sobre a violência na Bahia, a partir do levantamento feito pela Rede de Observatórios de Segurança. ","O trabalho apresenta para a sociedade números que por vezes são mascarados pelos órgãos competentes, neste caso, a Secretaria de Segurança Pública da Bahia.","O uso e principalmente a análise de dados colhidos a partir de uma instituição não governamental, que faz as apurações com base em reportagens e registros da mídia.","Apuração e investigação dos dados apresentados, além de um levantamento e análise sobre os dados, suas causas e efeitos na sociedade. "
‘Foi o Enem da imprudência e da desigualdade’: abstenção ecoa dificuldades de alunos da periferia,3,Sul21,https://sul21.com.br/noticias/geral/2021/02/foi-o-enem-da-imprudencia-e-da-desigualdade-abstencao-ecoa-dificuldades-de-alunos-da-periferia/,Online,Andressa Marques,1/2/2021,"O Exame Nacional do Ensino Médio (Enem) obteve neste ano o maior índice de abstenção já registrado desde a sua criação, em 1998. No primeiro dia (17 de janeiro), 51,5% dos estudantes não compareceram aos locais de prova. No segundo dia (24 de janeiro), 55,3% deixaram de prestar o exame. Até então, o mais alto índice de abstenção registrado pelo Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (Inep) havia sido em 2009, com 37,7%. No Rio Grande do Sul, o número de candidatos que não realizaram as provas foi ainda maior. Segundo dados do Instituto, dos 245.877 inscritos, 56,2% não prestaram o exame.",O descaso das autoridades com a falta de qualidade do ensino preparatório para o ENEM em tempos de pandemia mostra em dados as dificuldades de alunos da periferia.,O resgate e abalo psicológico de alunos e professores de cursinhos populares periféricos e a resistência desse ambiente querer e continuar fazendo o que pode para que essa parcela entre na academia.,INEP - ENEM 2020 - Abstenções
29% das pessoas que vivem com HIV em Porto Alegre foram demitidas ou rejeitadas em empregos,4,Sul21,https://sul21.com.br/noticias/geral/2020/12/29-das-pessoas-que-vivem-com-hiv-em-porto-alegre-foram-demitidas-ou-rejeitadas-em-empregos/,Online,Andressa Marques,22/12/2020,"Desde o início de novembro, o programa conjunto das Nações Unidas sobre HIV/AIDS (UNAIDS) em parceria com a Gestos – Soropositividade, Comunicação e Gênero e a PUC-RS realizou uma série de apresentações com dados do Índice de Estima em Relação às Pessoas Vivendo com HIV e AIDS em cinco cidades brasileiras, entre elas Porto Alegre. O webinário destacou que o diagnóstico positivo influencia a maneira que as pessoas se veem e se relacionam com parentes e amigos, a relação com o trabalho e com a saúde.

Segundo o Boletim Epidemiológico de HIV/AIDS publicado pelo Ministério da Saúde em 2020, o Rio Grande do Sul é o estado que apresenta a maior taxa de detecção de AIDS do Brasil: 28,3 para 100 mil habitantes. Porto Alegre apresenta uma taxa ainda maior: 58,5 a cada 100 mil habitantes. Este índice é mais que o dobro do estado e 3,3 vezes maior que a taxa média do Brasil, que é de 17,8%.","A pesquisa mostra que os participantes decidiram não se candidatar a uma vaga de emprego nos últimos 12 meses. Em Porto Alegre, 29% perderam a fonte de renda ou foram rejeitados em entrevistas em função da sua sorologia. Mesmo que haja uma legislação que garanta o direito do sigilo. ","Com dados e cases, o trabalho resgata os desafios de pessoas soropositivas e suas formas de renda durante a pandemia.","https://unaids.org.br/wp-content/uploads/2020/12/Stigma-Index-2019_-Porto-Alegre_4aprova.pdf
"
A “ilha dos Odebrecht” que o Google Maps esconde,5,Outras Palavras,https://outraspalavras.net/direitosouprivilegios/a-ilha-dos-odebrecht-que-o-google-maps-esconde/,Online,Antônio Heleno Caldas Laranjeira,7/7/2021,"No litoral da Bahia, Quiepe parece escondida a sete chaves. Mesmo em local estratégico, está fora das rotas de navegação. Busca no Google dá em vazio no mar, em local errado. Mas, com ferramentas livres, paraíso privado foi, enfim, mapeado…","No ramo dos dados abertos do OpenStreetMap, os mapas são um dos setores mais progressistas servindo de base para desenvolvimento desde games à inteligência artificial.

Para os países periféricos (da África, da Ásia e da América Latina) essas imagens de satélite e mapas online produzidos pela Europa e pelos EUA, majoritariamente, contém em si 1) o paradigma, 2) o paradoxo e 3) as possibilidades de uma outra globalização.

Milton Santos, no ano um do século XXI, lançou sua última obra. O geógrafo do terceiro mundo deixou uma pista: é preciso e possível fazermos “uma outra globalização” das mídias e com os mapas não é diferente. No processo de corrida info-espacial a verdade sobre a paisagem do planeta se constrói.","O tema dos mapas públicos ainda é pouco debatido no Brasil. No entanto chamamos atenção na reportagem,a partir do gancho no caso da “ilha dos Odebrecht”.

Neste contexto, o texto apresenta um debate científico e humanitário em aberto no Brasil. O ""direito ao mapa"", que este discurso enuncia, envolve o direito ao território e o contraste das plataformas privadas como Google Maps e plataforma pública como OpenStreetMap.

Neste texto, de maneira inédita, buscamos demonstrar como superar o contraste entre estas plataformas de cartografia e abordamos uma das famílias mais poderosas do Brasil como exemplo sobre a relação entre mapas e poder, uma disputa entre visibilização e invisibilização.

O trabalho trata, de maneira objetiva e atual, dos dois conjuntos de problemas tecnológicos que norteiam hoje as soluções em plataformas: as questões do editor e as questões do usuário. Ambos são abordados pelo autor no site Outras Palavras.

Por exemplo, fazer alterações ou incrementações de geodados no Google Maps depende de uma condição privada, enquanto no OpenStreetMap essa é uma condição sine qua non para ser uma plataforma pública de produção de mapas com base em imagens de satélites de diversas empresas espaciais.

Conforme o texto enuncia: ""Ainda que sejam territórios privados, os mapas públicos podem e por vezes devem registrar ilhas privadas, por exemplo. Por essa e por outras terras privatizadas, seguimos acreditando na necessidade dos diálogos sobre mapas públicos como infraestruturas para o desenvolvimento, a justiça e a igualdade nos usos dos territórios do Brasil"".","Após realizar o curso de Jornalismo de Dados Ambientais da Escola de Dados com apoio da Earth Journalism Network (EJN), despertei para pautas relacionadas com imagens de satélite, chegando a escrever sobre o uso de dados aeroespaciais para disseminar verdades mas também mentiras: https://outraspalavras.net/geopoliticaeguerra/fakegeo-como-mentir-com-imagens-de-satelite/ 

Utilizamos do Map Compare <https://tools.geofabrik.de/mc/> recurso digital para comparação de mapas online. O recurso, criado na Alemanha, é utilizado para comparar mapas de centros e periferias, de modo a demonstrar como em teoria denomina-se como ""contraste cartográfico"".

A técnica é usada pode ser identificada como inédita no jornalismo digital do Brasil. Para comprovar que a “ilha dos Odebrecht” existe e passou a estar no mapa graças ao trabalho do jornalista, pesquisador e professor, especializado em dados de plataformas de mapas online, é preciso demonstrar passo a passo como fazer mapas e as lógicas das plataformas de mapas online, conforme o título remete.

Conectado ao mapa online é possível ver a residência, a área urbanizada, a zona de areia e de recifes que envolvem quase toda a Ilha dos Odebrecht. Uma paisagem deslumbrante vista com imagens gratuitas da Maxar através do consórcio de dados open source que nos permitem essa acurácia investigativa da qual o Jornalismo, quase sempre, deixa escapar a possibilidade.

Aqui buscamos demonstrar, na teoria e na prática, que o conhecimento livre, a partir da integração de dados e metadados abertos da plataforma OpenStreetMap, e o engajamento científico, pode ser um potente recurso sistêmico para investigar violações em territórios em disputa, em todas as regiões do Brasil, sobretudo nos desertos de notícias."
Afogados em Lixo,6,revista piauí,https://piaui.folha.uol.com.br/afogados-em-lixo/ ,Online,"Amanda Gorziza, Lianne Ceará e Renata Buono",22/2/2021,"O =igualdades é um quadro especial semanal do site da revista piauí que analisa e ilustra diversos assuntos a partir de bases de dados. O trabalho ‘Afogados em lixo’ analisa alguns números sobre lixo no Brasil. No total, os brasileiros produzem 1,52 milhão de toneladas de resíduos sólidos por semana, o equivalente a quase sete navios de cruzeiro. Em 2010, foram gerados 66,69 milhões de toneladas de resíduos sólidos urbanos. Já em 2019, o descarte aumentou para 79,06 milhões de toneladas – 18,6% a mais. A produção de lixo plástico também cresceu, mas apenas 1,3% das 11,3 milhões de toneladas de plástico em 2019 foram recicladas em território nacional.","Estamos produzindo cada vez mais lixo e precisamos agir – os mais recentes acontecimentos dos últimos tempos nos mostram uma natureza exaurida e, ainda assim, o estado mais verde do país, Amazonas, produz 17% a mais de lixo que Minas Gerais, por exemplo. Dados como este e outros contidos no “Afogados em lixo” nos dão uma dimensão da dura realidade dos resíduos sólidos do Brasil e precisam ser divulgados amplamente, pois são de interesse público e ganham ainda mais força nos tempos que vivemos.","Todas as semanas, o =igualdades une informação e design acerca de algum assunto, facilitando para o leitor o entendimento dos números, além de ampliar o acesso a bases de dados abertas e dar sentido a elas. No “Afogados em lixo”, publicado em fevereiro deste ano, a originalidade está no fato de termos buscado os mais diversos dados analisando três bases diferentes, todas sobre os resíduos sólidos e termos transformado os números nos nossos infográficos, que são de fácil compreensão, sobre um assunto relevante e pertinente. 
","Para a realização dessa edição do =igualdades, utilizamos a captação de dados das bases da Associação Brasileira de Empresas de Limpeza Pública e Resíduos Especiais (Abrelpe), Fundação Heinrich Böll e WWF Brasil. A partir da análise dos dados, foram idealizadas comparações para a construção da narrativa e artes do =igualdades e, posteriormente, a montagem dos infográficos que tornam mais visíveis e de fácil entendimento para o leitor o que os números dizem.

Panorama dos Resíduos Sólidos no Brasil 2020 da Abrelpe
Atlas do plástico 2020 da Fundação Heinrich Böll: https://br.boell.org/sites/default/files/2020-11/Atlas%20do%20Pl%C3%A1stico%20-%20vers%C3%A3o%20digital%20-%2030%20de%20novembro%20de%202020.pdf?dimension1=atlas_do_pl%C3%A1stico 
WWF Brasil
https://wwfbr.awsassets.panda.org/downloads/ra2019_completo.pdf 
"
Anatomia da Rachadinha,7,UOL,https://noticias.uol.com.br/reportagens-especiais/anatomia-da-rachadinha-bolsonaro,Online,"Amanda Rossi, Flávio Costa, Gabriela Sá Pessoa, Juliana Dal Piva, René Cardillo, Leonardo Rodrigues, Marcos de Lima, Marcos Sergio Silva, Gisele Pungan",15/3/2021,"A série de reportagens especiais ""Anatomia da Rachadinha"", do Núcleo Investigativo do UOL, revelou indícios de que o esquema ilegal da ""rachadinha"" também ocorreu no gabinete do presidente do Brasil, Jair Bolsonaro, quando era deputado federal. ""Rachadinha"" é o nome dado para um esquema de repartição ilegal de salários de servidores públicos, em benefício dos políticos que os empregam — um crime. 

As revelações ocorreram a partir do acesso, análise e investigação de um banco de dados sigiloso obtido pelo UOL, com mais de 600 mil operações bancárias. Trata-se da quebra de sigilo bancário de mais de 100 pessoas, no âmbito da investigação do Ministério Público do Rio de Janeiro sobre a ""rachadinha"" do gabinete de Flávio Bolsonaro na Assembleia do Rio. Como Flávio e Jair tiveram assessores em comum, os dados permitem investigar também o comportamento financeiro de funcionários do hoje presidente. Nunca antes esses dados haviam sido investigados com este objetivo, nem pela imprensa nem por órgãos públicos de investigação.

A série é formada por quatro reportagens. A primeira revela que quatro assessores de Jair Bolsonaro na Câmara dos Deputados sacaram 72% do salário em dinheiro vivo. Receberam R$ 764 mil líquidos e sacaram R$ 551 mil. O UOL criou uma metodologia para considerar apenas os saques que, com certeza, têm origem nos salários recebidos. Ou seja, não é possível que esses valores sacados sejam fruto de outras fontes de renda. 

Outra reportagem revela que Ana Cristina Siqueira Valle, ex-mulher de Jair Bolsonaro, transferiu para si mesma todo o dinheiro que uma irmã tinha em uma conta em Brasília. Era nessa conta que a irmã recebia o salário pago pelo gabinete do deputado federal Jair Bolsonaro, onde trabalhou por oito anos. Há indícios de que a irmã de Ana Cristina era funcionária fantasma. A transferência ocorreu um ano e dois meses depois que a então cunhada de Bolsonaro foi exonerada — justamente quando Ana Cristina e Bolsonaro estavam se separando. O saldo total transferido valia R$ 54 mil — R$ 110 mil, em valores de hoje. 

Uma terceira reportagem revelou que ao menos quatro funcionários do gabinete do vereador Carlos Bolsonaro sacaram 87% de seus salários. Juntos, eles retiraram um total de R$ 570 mil, também em dinheiro vivo. É o mesmo padrão de Flávio e Jair Bolsonaro. Por último, a cobertura especial do UOL revelou que uma chefe de gabinete de Flávio Bolsonaro pagava o aluguel de um sobrinho do hoje presidente da República.","As quebras de sigilo bancário determinadas pelo Ministério Público do Rio de Janeiro são a principal fonte da série “Anatomia da Rachadinha”. Mas, apesar de terem sido produzidos no âmbito de uma investigação oficial em curso, os dados relativos a Jair Bolsonaro não seriam investigados naturalmente pelas autoridades.

Isso ocorre porque as quebras de sigilo foram determinadas para apurar a “rachadinha” de Flávio Bolsonaro. Desta forma, o Ministério Público do Rio de Janeiro não poderia ir além disso.

Frente à relevância das informações, de grande interesse público e alto potencial de impacto na vida nacional, o UOL considerou que era fundamental conduzir uma investigação própria a partir desses mesmos dados. Desta forma, os fatos que implicam o presidente do Brasil foram revelados exclusivamente pelo UOL. 

Se não fosse a investigação jornalística do UOL, provas muito importantes que implicam o presidente do Brasil em crimes de peculato — desvio de dinheiro público promovido por funcionários públicos em benefício próprio — teriam sido, simplesmente, descartadas pelas autoridades, e não seriam conhecidas pela sociedade.

O trabalho teve grande repercussão entre o público brasileiro e outros veículos de imprensa nacional, por mostrar, pela primeira vez, que a “rachadinha” não era uma mancha apenas na carreira política de um dos filhos do presidente Jair Bolsonaro. Diversos fatos concretos trazidos à público pela primeira vez pela série de reportagens levaram o escândalo para o centro da família Bolsonaro — ou seja, o próprio presidente.","O trabalho parte de uma hipótese de investigação original. Como a família Bolsonaro tinha o hábito de trocar de funcionários entre si, era possível que, entre os funcionários de Flávio Bolsonaro com sigilo bancário quebrado, estivessem pessoas que também trabalharam para Jair Bolsonaro na Câmara dos Deputados, em Brasília. Dessa forma, seria possível investigar a movimentação bancária de funcionários de Jair Bolsonaro. Para isso, se tornou fundamental ter acesso às quebras de sigilo bancário do caso Flávio Bolsonaro. 

O trabalho também é original ao combinar análise de dados com investigação jornalística clássica. Concluída a análise de dados, a equipe buscou informações que comprovassem e fortalecessem os indícios apontados pelos dados, traçando conexões entre os diferentes envolvidos, investigando o que de fato faziam na época em que deveriam estar trabalhando para Jair Bolsonaro na Câmara dos Deputados.

Outro ponto de originalidade foi a forma de apresentar as descobertas. Como havia muitos dados e muitos personagens envolvidos, o UOL desenvolveu um vídeo-animação para destacar os pontos principais da análise e investigação de dados, que teve cerca de 375 mil visualizações até agora (https://www.youtube.com/watch?v=Ph6JgfORuYs).","Em setembro de 2020, fontes do UOL disponibilizaram 100 quebras de sigilo bancário do caso Flávio Bolsonaro, que perfazem 607.552 operações bancárias. Duas repórteres especializadas em jornalismo de dados, Amanda Rossi e Gabriela Sá Pessoa, começaram a analisar meticulosamente os dados. Estabeleceram metodologias para calcular o volume de saques em dinheiro vivo, em comparação com os salários recebidos do poder público.

Primeiro, as repórteres montaram uma base de dados única (SQL), eliminando duplicações e fazendo outras verificações de consistência dos dados. Em seguida, foi preciso apurar junto ao Banco Central e a Febraban o que significava exatamente cada sigla de operação bancária. Então, estabeleceu-se que conjunto de códigos representava ingresso de salários e benefícios, e que conjunto de códigos representava saques. O objetivo era calcular a proporção dos rendimentos em cargos públicos que era sacada em dinheiro vivo.

Na maioria dos casos, além dos salários e benefícios, havia outros ingressos de recursos nas contas — como depósitos feitos por familiares, empréstimos, venda de veículos, transferências de recursos que estavam em contas de investimento... Dessa forma, não bastava calcular a proporção simples de saques em relação aos rendimentos, caso contrário algum dos envolvidos poderia alegar que o dinheiro sacado não tinha origem nos pagamentos recebidos com dinheiro público.

Por isso, criou-se uma metodologia de cálculo que considerasse apenas os saques que, com certeza, tivessem origem nos salários e outros pagamentos recebidos do poder público. Primeiro, soma-se todos os rendimentos do período (A). Soma-se também os salários e benefícios referentes ao cargo público ocupado (na Câmara dos Deputados, no caso de funcionários de Jair Bolsonaro; na Câmara Municipal do Rio, no caso de Carlos Bolsonaro) (B). Então, calcula-se o volume de rendimentos que não são fruto de pagamento feito pelo poder público, provenientes de fontes diversas (A-B=C). Soma-se o total que foi sacado em dinheiro vivo (D). Assume-se, de forma conservadora, que 100% dos outros rendimentos foram sacados. 

O percentual apresentado na reportagem é (D-C)/B. Apesar de ser um percentual conservador, é o cálculo mais seguro, porque não permeável a outras justificativas. E ainda assim o resultado foi alto e relevante: no caso dos funcionários de Jair Bolsonaro, pelo menos 72% dos salários foram sacados em dinheiro vivo; no caso dos funcionários de Carlos Bolsonaro, pelo menos 87%.

Os dados das quebras de sigilo de diferentes pessoas também foram cruzados para identificar padrões. Assim, foi possível descobrir que Nathália Queiroz, funcionária de Jair Bolsonaro na Câmara dos Deputados, ficava com uma mesada de R$ 2 mil do salário que recebia. O restante era transferido para uma conta bancária de Fabrício Queiroz — apontado pelo Ministério Público do Rio de Janeiro como principal operador da “rachadinha” de Flávio Bolsonaro."
Apenas 9 estados têm licença-adotante igual à de maternidade,8,Jornal O Povo,Link_1: https://mais.opovo.com.br/reportagens-especiais/2021/06/03/apenas-9-estados-tem-licenca-adotante-igual-a-de-maternidade.html Link_2: https://mais.opovo.com.br/reportagens-especiais/licenca-adotante/2021/06/30/de-27-estados--apenas-10-mantem-licencas-a-casais-homoafetivos.html,Online,Flávia Oliveira e Thays Lavor ,3/6/2021,"A adoção de crianças e adolescentes por servidores públicos estaduais esbarra em regimentos anticonstitucionais que estabelecem diferenças entre os filhos de pais adotivos e os biológicos. Maioria das licenças concedidas aos adotantes é de apenas 30 dias, quanto maior a idade da criança ou adolescente adotado, menor o tempo de licença. ","O levantamento do O POVO mostra como os Estados permanecem defasados. Estamos em 2021, e direitos fundamentais ainda são cerceados as famílias que optam pela adoção. Se por um lado percebemos um empenho na facilitação desses processos no âmbito do judiciário, garantindo direitos de crianças e adolescentes a terem uma família e um lar, por outro vemos que nas esferas executivas estaduais essas famílias ainda são diferenciadas perante os olhos do estado.","O trabalho fez um levantamento , por meio de 27 pedidos de Lei de Acesso à Informação, que buscou saber  quais os tempos de licença maternidade concedidos aos servidores públicos que possuem filhos adotivos. Ao tabular e analisar os dados enviados pelos  governos, evidenciou-se que quanto  67% dos estados brasileiros negam as suas servidoras públicas adotantes e as crianças e adolescentes adotados, o estabelecimento de vínculos afetivos e o acolhimento no novo núcleo familiar. 
O levantamento do O POVO aponta também que a adoção por casais homoafetivos nos serviços públicos estaduais seguem invisibilizados no quadro de estatísticas.","Para a construção desta reportagem, o Data.doc coletou os estatutos dos servidores públicos de cada Unidade da Federação e baseado nos documentos oficiais, sistematizamos por Estado e Idade da Criança ou Adolescente, os tempos do benefício Licença Maternidade oferecidos às servidoras públicas que adotam no país. Os dados foram extraídos dos sites institucionais dos governos e checados via Lei de Acesso à Informação (LAI). Foram submetidos 27 pedidos de LAI a todos os estados brasileiros, essas solicitações requeriam os tempos de licença maternidade concedidos às servidoras que adotam crianças ou adolescentes, o tempo do benefício, as idades dos adotados e as normas que regem os benefícios.

LINK: https://drive.google.com/drive/folders/1vBoNncvcuuv2j-xUn1yi4rOCbRXIPic6?usp=sharing"
ARMAS VIRAM MOEDA DE INFLUÊNCIA NO INSTAGRAM,9,Núcleo Jornalismo,https://nucleo.jor.br/especiais/2021-04-15-influencers-armas-instagram,Online,"LAÍS MARTINS, LUCAS GELAPE, RENATA HIROTA, FELIPPE MERCURIO, RODOLFO ALMEIDA, SÉRGIO SPAGNUOLO E ALEXANDRE ORRICO ",15/4/2021,"O Núcleo analisou mais de 26 mil posts públicos no Instagram entre 2017 e 2021 que contêm uma série de hashtags relacionadas à divulgação de armas de fogo e da prática de tiro. Neste período, é possível ver um nítido aumento no número de publicações, especialmente a partir da posse de Bolsonaro, no começo de 2019.","Em vista de políticas públicas para aumentar o acesso a armas durante o governo de Jair Bolsonaro, é relevante monitorar o crescimento nos números de influenciadores que promovem posse de arma no Brasil, o que pode afetar vendas de armamentos e até índices de violência. Há também um impacto político, considerando a tendência de polarização envolvendo pautas típicas de espectros ideológicos, entre elas posse de armas.","Fizemos uma análise inédita de alcance e engajamento de influenciadores de armas no Instagram, colocando em contexto políticas públicas que propiciaram o cenário de maior facilidade de obtenção de armamentos.","O Núcleo coletou 26.924 posts únicos de Instagram, por meio da API de busca do CrowdTangle a partir de uma lista de hashtags identificadas por exploração manual de postagens sobre armas naquela rede social. As hashtags foram: #mulheresarmadas, #campanhadoarmamento, #glockbrasil, #glockdobrasil, #tiroesportivobrasil, #ipscbrasil, #mulheresarmadas, #tiropratico, #taurusarmas, #tiroesportivo, #naoaodesarmamento, #atiradoras, #mulheresnotiro.

Não podemos afirmar que essas postagens e contas identificadas são representativas desse universo no Instagram. Elas são uma janela que nos permitiu observar, indutivamente, temas importantes dentro desse conjunto.

Para identificar temas relevantes, nos guiamos pelas hashtags, emojis e palavras mais usados. Também nos guiamos por algumas palavras-chave, como sorteio e venda, que apareciam muitas vezes ao explorarmos os dados.

Os dados do Exército citados na matéria foram obtidos via Lei de Acesso à Informação em janeiro."
As pensões e os bilhões da família militar,10,piauí,https://piaui.folha.uol.com.br/as-pensoes-e-os-bilhoes-da-familia-militar/,Online,"Taís Seibt, Bernardo Baron, Maria Vitória Ramos e Renata Buono",12/7/2021,"Em 2020, o governo federal pagou pensões a 529 mil pessoas – em geral, parentes de servidores civis e militares que já morreram. Somadas, essas pensões custaram R$ 36,5 bilhões, valor maior que o orçamento do Bolsa Família, que atende cerca de 14 milhões de famílias. Os parentes de militares são responsáveis pela maior fatia do bolo, e receberam, em média, 47% a mais do que os parentes de civis.  Somente uma mulher, que é filha de um militar e viúva de outros dois, recebeu, em média, R$ 61,2 mil mensais em 2020. Valor seria suficiente para pagar o valor máximo do novo auxílio emergencial (R$ 375) a 163 mulheres que são chefes de família. Essas são algumas das comparações expostas na reportagem para a seção =igualdades, da piauí, com base em dados divulgados no Portal da Transparência após a agência de dados Fiquem Sabendo cobrar reiteradamente o Tribunal de Contas da União (TCU), que já havia determinado, em janeiro de 2020, que o governo tornasse públicas essas informações.","Os dados sobre pagamentos de pensões a parentes de militares só foram publicados no Portal da Transparência pelas sucessivas cobranças da agência de dados Fiquem Sabendo à Controladoria-Geral da União (CGU) e duas denúncias acatadas pelo Tribunal de Contas da União (TCU). A publicação dos benefícios bilionários pagos há mais de 100 anos, principalmente a filhas e viúvas de militares, chega em um período em que a pandemia da Covid-19 expôs como nunca a disparidade social existente no Brasil. Ao comparar gastos com pensões da família militar e investimentos em programas sociais, a reportagem levanta um debate público relevante, em meio a tantas discussões sobre reformas e privilégios. Enquanto milhões de famílias lutam para sobreviver com ajuda de Bolsa Família e auxílio emergencial, alguns milhares de brasileiros acumulam benesses criadas no século passado em proporções muito maiores, e agora finalmente conhecidas. A reportagem foi produzida em colaboração entre a piauí e a Fiquem Sabendo, que além de estar desde 2017 batalhando pela publicação dos dados, mobilizou jornalistas, cientistas de dados e advogados para simplificar o acesso à base de dados. Dividida em dezenas de pastas, cada uma com diversas planilhas de milhares de linhas, sem contar as inúmeras inconsistências que poderiam levar a conclusões equivocadas quanto a valores pagos e quantidade de beneficiários, a base foi checada com a colaboração de Álvaro Justen, do Brasil.io, e Fernando Barbalho, que voluntariamente desenvolveu um aplicativo de consulta simplificada aos dados, disponível para acesso público. As verificações foram encaminhadas à CGU, contribuindo para corrigir e qualificar a base original. Dessa forma, mais do que uma reportagem guiada por dados, o trabalho inscrito representa uma contribuição do jornalismo para a transparência pública, o controle social e a promoção da democracia.","A originalidade da reportagem está na própria base de dados dos pensionistas, que se tornou pública pela primeira vez em mais de 100 anos graças ao trabalho da Fiquem Sabendo. A primeira denúncia ao Tribunal de Contas da União (TCU) foi apresentada ainda em 2017 e foi acatada em setembro de 2019. Em janeiro de 2020, o Ministério da Economia liberou apenas parte dos dados, referentes a dois meses de pagamentos em 2019 e somente a pensionistas civis. A agência seguiu cobrando a CGU para a liberação integral dos dados, até que em julho de 2020 uma série histórica de 27 anos de pagamentos foi publicada, porém ainda somente de civis, contrariando a determinação do TCU. Um cronograma foi estabelecido para a publicação dos dados de militares, e sucessivamente foi descumprido pelo governo federal, motivando uma segunda denúncia ao TCU por parte da Fiquem Sabendo. Sem essa pressão constante, possivelmente os dados de pagamentos a militares continuariam ocultos. Para destacar a relevância dessas informações, a reportagem da piauí compara os gastos com pensões com investimentos em programas sociais do governo, incluindo ações de combate à Covid-19. Com gráficos e ilustrações, a reportagem consegue transformar uma enorme quantidade de dados em informações facilmente compreensíveis por qualquer público.  ","A checagem dos registros envolveu três cientistas de dados: Bernardo Baron, da equipe da Fiquem Sabendo; Álvaro Justen, do Brasil.io; e Fernando Barbalho, que voluntariamente desenvolveu um aplicativo de consulta simplificada dos dados para acesso público. O trio analisou as bases com duas linguagens de programação, Python e R, o que permitiu identificar diversas inconsistências e obter maior precisão na checagem. As ferramentas desenvolvidas foram disponibilizadas para jornalistas durante a apuração, de modo a validar informações. Inconsistências e duplicidades foram comunicadas à Controladoria-Geral da União (CGU) de forma a garantir a correta análise dos dados. Após a publicação da reportagem, a ferramenta criada por Barbalho foi colocada em acesso público (https://fiquemsabendo.shinyapps.io/Pensionistas/). Já o código-fonte da aplicação e as consultas realizadas na base de dados podem ser acessadas no GitHub (https://github.com/FIquemSabendo/pensionistas). Complementarmente, um tutorial completo para o acesso aos dados usados na reportagem foi publicado pela Fiquem Sabendo (https://fiquemsabendo.com.br/gastos-publicos/tutorial-encontrar-pensionista-dados-governo-federal/). "
